Données 2021;Personnes scolarisées;% de la population scolarisée;Moyenne des villes;code_insee;Ville;type
Bac +5 et plus;3 748;16,4 %;6,5 %;93063;romainville;Non scolarisés
2 - 5 ans;1 924;16,9 %;15,6 %;93064;rosny-sous-bois;Scolarisés
6 - 10 ans;3 045;26,7 %;29,2 %;93064;rosny-sous-bois;Scolarisés
11 - 14 ans;2 250;19,7 %;24,9 %;93064;rosny-sous-bois;Scolarisés
15 - 17 ans;1 448;12,7 %;18,4 %;93064;rosny-sous-bois;Scolarisés
18 - 24 ans;2 063;18,1 %;9,1 %;93064;rosny-sous-bois;Scolarisés
25 - 29 ans;321;2,8 %;0,7 %;93064;rosny-sous-bois;Scolarisés
30 ans et plus;343;3,0 %;2,2 %;93064;rosny-sous-bois;Scolarisés
Aucun diplôme;6 501;20,4 %;20,2 %;93064;rosny-sous-bois;Non scolarisés
Brevet des collèges;1 571;4,9 %;5,5 %;93064;rosny-sous-bois;Non scolarisés
CAP / BEP;6 007;18,9 %;29,3 %;93064;rosny-sous-bois;Non scolarisés
Baccalauréat / brevet professionnel;6 147;19,3 %;18,8 %;93064;rosny-sous-bois;Non scolarisés
De Bac +2 à Bac +4;7 520;23,6 %;19,8 %;93064;rosny-sous-bois;Non scolarisés
Bac +5 et plus;4 105;12,9 %;6,5 %;93064;rosny-sous-bois;Non scolarisés
2 - 5 ans;5 148;15,4 %;15,6 %;93066;saint-denis;Scolarisés
6 - 10 ans;7 852;23,5 %;29,2 %;93066;saint-denis;Scolarisés
11 - 14 ans;5 913;17,7 %;24,9 %;93066;saint-denis;Scolarisés
15 - 17 ans;4 253;12,7 %;18,4 %;93066;saint-denis;Scolarisés
18 - 24 ans;7 299;21,9 %;9,1 %;93066;saint-denis;Scolarisés
25 - 29 ans;1 442;4,3 %;0,7 %;93066;saint-denis;Scolarisés
30 ans et plus;1 459;4,4 %;2,2 %;93066;saint-denis;Scolarisés
Aucun diplôme;25 880;34,6 %;20,2 %;93066;saint-denis;Non scolarisés
Brevet des collèges;3 658;4,9 %;5,5 %;93066;saint-denis;Non scolarisés
CAP / BEP;11 471;15,3 %;29,3 %;93066;saint-denis;Non scolarisés
Baccalauréat / brevet professionnel;12 430;16,6 %;18,8 %;93066;saint-denis;Non scolarisés
De Bac +2 à Bac +4;12 142;16,2 %;19,8 %;93066;saint-denis;Non scolarisés
Bac +5 et plus;9 181;12,3 %;6,5 %;93066;saint-denis;Non scolarisés
2 - 5 ans;2 152;15,0 %;15,6 %;93070;saint-ouen-sur-seine;Scolarisés
6 - 10 ans;3 336;23,3 %;29,2 %;93070;saint-ouen-sur-seine;Scolarisés
11 - 14 ans;2 594;18,1 %;24,9 %;93070;saint-ouen-sur-seine;Scolarisés
15 - 17 ans;1 823;12,7 %;18,4 %;93070;saint-ouen-sur-seine;Scolarisés
18 - 24 ans;3 204;22,4 %;9,1 %;93070;saint-ouen-sur-seine;Scolarisés
25 - 29 ans;522;3,6 %;0,7 %;93070;saint-ouen-sur-seine;Scolarisés
30 ans et plus;688;4,8 %;2,2 %;93070;saint-ouen-sur-seine;Scolarisés
Aucun diplôme;8 375;23,0 %;20,2 %;93070;saint-ouen-sur-seine;Non scolarisés
Brevet des collèges;1 508;4,1 %;5,5 %;93070;saint-ouen-sur-seine;Non scolarisés
CAP / BEP;5 459;15,0 %;29,3 %;93070;saint-ouen-sur-seine;Non scolarisés
Baccalauréat / brevet professionnel;6 039;16,6 %;18,8 %;93070;saint-ouen-sur-seine;Non scolarisés
De Bac +2 à Bac +4;7 880;21,7 %;19,8 %;93070;saint-ouen-sur-seine;Non scolarisés
Bac +5 et plus;7 117;19,6 %;6,5 %;93070;saint-ouen-sur-seine;Non scolarisés
2 - 5 ans;2 415;16,4 %;15,6 %;93071;sevran;Scolarisés
6 - 10 ans;3 944;26,8 %;29,2 %;93071;sevran;Scolarisés
11 - 14 ans;3 063;20,8 %;24,9 %;93071;sevran;Scolarisés
15 - 17 ans;2 146;14,6 %;18,4 %;93071;sevran;Scolarisés
18 - 24 ans;2 473;16,8 %;9,1 %;93071;sevran;Scolarisés
25 - 29 ans;308;2,1 %;0,7 %;93071;sevran;Scolarisés
30 ans et plus;379;2,6 %;2,2 %;93071;sevran;Scolarisés
Aucun diplôme;12 028;35,0 %;20,2 %;93071;sevran;Non scolarisés
Brevet des collèges;1 959;5,7 %;5,5 %;93071;sevran;Non scolarisés
CAP / BEP;6 469;18,9 %;29,3 %;93071;sevran;Non scolarisés
Baccalauréat / brevet professionnel;6 471;18,9 %;18,8 %;93071;sevran;Non scolarisés
De Bac +2 à Bac +4;5 165;15,1 %;19,8 %;93071;sevran;Non scolarisés
Bac +5 et plus;2 226;6,5 %;6,5 %;93071;sevran;Non scolarisés
2 - 5 ans;2 106;16,3 %;15,6 %;93072;stains;Scolarisés
6 - 10 ans;3 653;28,2 %;29,2 %;93072;stains;Scolarisés
11 - 14 ans;2 775;21,4 %;24,9 %;93072;stains;Scolarisés
15 - 17 ans;1 667;12,9 %;18,4 %;93072;stains;Scolarisés
18 - 24 ans;2 222;17,2 %;9,1 %;93072;stains;Scolarisés
25 - 29 ans;203;1,6 %;0,7 %;93072;stains;Scolarisés
30 ans et plus;321;2,5 %;2,2 %;93072;stains;Scolarisés
Aucun diplôme;8 897;35,1 %;20,2 %;93072;stains;Non scolarisés
Brevet des collèges;1 509;6,0 %;5,5 %;93072;stains;Non scolarisés
CAP / BEP;4 840;19,1 %;29,3 %;93072;stains;Non scolarisés
Baccalauréat / brevet professionnel;5 474;21,6 %;18,8 %;93072;stains;Non scolarisés
De Bac +2 à Bac +4;3 375;13,3 %;19,8 %;93072;stains;Non scolarisés
Bac +5 et plus;1 257;5,0 %;6,5 %;93072;stains;Non scolarisés
2 - 5 ans;1 673;16,4 %;15,6 %;93073;tremblay-en-france;Scolarisés
6 - 10 ans;2 895;28,4 %;29,2 %;93073;tremblay-en-france;Scolarisés
11 - 14 ans;2 104;20,6 %;24,9 %;93073;tremblay-en-france;Scolarisés
15 - 17 ans;1 525;14,9 %;18,4 %;93073;tremblay-en-france;Scolarisés
18 - 24 ans;1 704;16,7 %;9,1 %;93073;tremblay-en-france;Scolarisés
25 - 29 ans;122;1,2 %;0,7 %;93073;tremblay-en-france;Scolarisés
30 ans et plus;188;1,8 %;2,2 %;93073;tremblay-en-france;Scolarisés
Aucun diplôme;6 144;24,2 %;20,2 %;93073;tremblay-en-france;Non scolarisés
Brevet des collèges;1 389;5,5 %;5,5 %;93073;tremblay-en-france;Non scolarisés
CAP / BEP;5 732;22,6 %;29,3 %;93073;tremblay-en-france;Non scolarisés
Baccalauréat / brevet professionnel;5 455;21,5 %;18,8 %;93073;tremblay-en-france;Non scolarisés
De Bac +2 à Bac +4;4 879;19,3 %;19,8 %;93073;tremblay-en-france;Non scolarisés
Bac +5 et plus;1 745;6,9 %;6,5 %;93073;tremblay-en-france;Non scolarisés
2 - 5 ans;1 203;15,8 %;15,6 %;93077;villemomble;Scolarisés
6 - 10 ans;2 076;27,2 %;29,2 %;93077;villemomble;Scolarisés
11 - 14 ans;1 555;20,4 %;24,9 %;93077;villemomble;Scolarisés
15 - 17 ans;1 107;14,5 %;18,4 %;93077;villemomble;Scolarisés
18 - 24 ans;1 323;17,4 %;9,1 %;93077;villemomble;Scolarisés
25 - 29 ans;148;1,9 %;0,7 %;93077;villemomble;Scolarisés
30 ans et plus;211;2,8 %;2,2 %;93077;villemomble;Scolarisés
Aucun diplôme;3 769;17,7 %;20,2 %;93077;villemomble;Non scolarisés
Brevet des collèges;1 006;4,7 %;5,5 %;93077;villemomble;Non scolarisés
CAP / BEP;4 010;18,8 %;29,3 %;93077;villemomble;Non scolarisés
Baccalauréat / brevet professionnel;3 806;17,9 %;18,8 %;93077;villemomble;Non scolarisés
De Bac +2 à Bac +4;5 341;25,1 %;19,8 %;93077;villemomble;Non scolarisés
Bac +5 et plus;3 363;15,8 %;6,5 %;93077;villemomble;Non scolarisés
2 - 5 ans;1 933;16,8 %;15,6 %;93078;villepinte;Scolarisés
6 - 10 ans;3 220;28,1 %;29,2 %;93078;villepinte;Scolarisés
11 - 14 ans;2 432;21,2 %;24,9 %;93078;villepinte;Scolarisés
15 - 17 ans;1 546;13,5 %;18,4 %;93078;villepinte;Scolarisés
18 - 24 ans;1 912;16,7 %;9,1 %;93078;villepinte;Scolarisés
25 - 29 ans;141;1,2 %;0,7 %;93078;villepinte;Scolarisés
30 ans et plus;291;2,5 %;2,2 %;93078;villepinte;Scolarisés
Aucun diplôme;7 546;30,0 %;20,2 %;93078;villepinte;Non scolarisés
Brevet des collèges;1 296;5,2 %;5,5 %;93078;villepinte;Non scolarisés
CAP / BEP;5 175;20,6 %;29,3 %;93078;villepinte;Non scolarisés
Baccalauréat / brevet professionnel;5 167;20,6 %;18,8 %;93078;villepinte;Non scolarisés
De Bac +2 à Bac +4;4 522;18,0 %;19,8 %;93078;villepinte;Non scolarisés
Bac +5 et plus;1 414;5,6 %;6,5 %;93078;villepinte;Non scolarisés
2 - 5 ans;1 688;15,7 %;15,6 %;94002;alfortville;Scolarisés
6 - 10 ans;2 603;24,3 %;29,2 %;94002;alfortville;Scolarisés
11 - 14 ans;1 960;18,3 %;24,9 %;94002;alfortville;Scolarisés
15 - 17 ans;1 254;11,7 %;18,4 %;94002;alfortville;Scolarisés
18 - 24 ans;2 191;20,4 %;9,1 %;94002;alfortville;Scolarisés
25 - 29 ans;440;4,1 %;0,7 %;94002;alfortville;Scolarisés
30 ans et plus;588;5,5 %;2,2 %;94002;alfortville;Scolarisés
Aucun diplôme;6 835;21,2 %;20,2 %;94002;alfortville;Non scolarisés
Brevet des collèges;1 712;5,3 %;5,5 %;94002;alfortville;Non scolarisés
CAP / BEP;5 278;16,4 %;29,3 %;94002;alfortville;Non scolarisés
Baccalauréat / brevet professionnel;5 551;17,2 %;18,8 %;94002;alfortville;Non scolarisés
De Bac +2 à Bac +4;6 830;21,2 %;19,8 %;94002;alfortville;Non scolarisés
Bac +5 et plus;5 987;18,6 %;6,5 %;94002;alfortville;Non scolarisés
2 - 5 ans;772;13,7 %;15,6 %;94003;arcueil;Scolarisés
6 - 10 ans;1 231;21,8 %;29,2 %;94003;arcueil;Scolarisés
11 - 14 ans;841;14,9 %;24,9 %;94003;arcueil;Scolarisés
15 - 17 ans;703;12,5 %;18,4 %;94003;arcueil;Scolarisés
18 - 24 ans;1 514;26,8 %;9,1 %;94003;arcueil;Scolarisés
25 - 29 ans;376;6,7 %;0,7 %;94003;arcueil;Scolarisés
30 ans et plus;208;3,7 %;2,2 %;94003;arcueil;Scolarisés
Aucun diplôme;2 815;18,9 %;20,2 %;94003;arcueil;Non scolarisés
Brevet des collèges;664;4,5 %;5,5 %;94003;arcueil;Non scolarisés
CAP / BEP;2 289;15,4 %;29,3 %;94003;arcueil;Non scolarisés
Baccalauréat / brevet professionnel;2 395;16,1 %;18,8 %;94003;arcueil;Non scolarisés
De Bac +2 à Bac +4;2 946;19,8 %;19,8 %;94003;arcueil;Non scolarisés
Bac +5 et plus;3 771;25,3 %;6,5 %;94003;arcueil;Non scolarisés
2 - 5 ans;1 008;10,4 %;15,6 %;94016;cachan;Scolarisés
6 - 10 ans;1 721;17,7 %;29,2 %;94016;cachan;Scolarisés
11 - 14 ans;1 482;15,2 %;24,9 %;94016;cachan;Scolarisés
15 - 17 ans;1 109;11,4 %;18,4 %;94016;cachan;Scolarisés
18 - 24 ans;3 573;36,7 %;9,1 %;94016;cachan;Scolarisés
25 - 29 ans;543;5,6 %;0,7 %;94016;cachan;Scolarisés
30 ans et plus;295;3,0 %;2,2 %;94016;cachan;Scolarisés
Aucun diplôme;3 135;15,9 %;20,2 %;94016;cachan;Non scolarisés
Brevet des collèges;810;4,1 %;5,5 %;94016;cachan;Non scolarisés
CAP / BEP;2 630;13,3 %;29,3 %;94016;cachan;Non scolarisés
Baccalauréat / brevet professionnel;2 878;14,6 %;18,8 %;94016;cachan;Non scolarisés
De Bac +2 à Bac +4;4 802;24,3 %;19,8 %;94016;cachan;Non scolarisés
Bac +5 et plus;5 514;27,9 %;6,5 %;94016;cachan;Non scolarisés
2 - 5 ans;3 106;15,0 %;15,6 %;94017;champigny-sur-marne;Scolarisés
6 - 10 ans;5 079;24,5 %;29,2 %;94017;champigny-sur-marne;Scolarisés
11 - 14 ans;4 213;20,3 %;24,9 %;94017;champigny-sur-marne;Scolarisés
15 - 17 ans;3 088;14,9 %;18,4 %;94017;champigny-sur-marne;Scolarisés
18 - 24 ans;4 202;20,2 %;9,1 %;94017;champigny-sur-marne;Scolarisés
25 - 29 ans;488;2,4 %;0,7 %;94017;champigny-sur-marne;Scolarisés
30 ans et plus;576;2,8 %;2,2 %;94017;champigny-sur-marne;Scolarisés
Aucun diplôme;13 954;26,1 %;20,2 %;94017;champigny-sur-marne;Non scolarisés
Brevet des collèges;2 690;5,0 %;5,5 %;94017;champigny-sur-marne;Non scolarisés
CAP / BEP;9 904;18,5 %;29,3 %;94017;champigny-sur-marne;Non scolarisés
Baccalauréat / brevet professionnel;9 610;18,0 %;18,8 %;94017;champigny-sur-marne;Non scolarisés
De Bac +2 à Bac +4;10 957;20,5 %;19,8 %;94017;champigny-sur-marne;Non scolarisés
Bac +5 et plus;6 337;11,9 %;6,5 %;94017;champigny-sur-marne;Non scolarisés
2 - 5 ans;1 082;14,7 %;15,6 %;94018;charenton-le-pont;Scolarisés
6 - 10 ans;1 650;22,4 %;29,2 %;94018;charenton-le-pont;Scolarisés
11 - 14 ans;1 238;16,8 %;24,9 %;94018;charenton-le-pont;Scolarisés
15 - 17 ans;1 000;13,6 %;18,4 %;94018;charenton-le-pont;Scolarisés
18 - 24 ans;1 785;24,2 %;9,1 %;94018;charenton-le-pont;Scolarisés
25 - 29 ans;322;4,4 %;0,7 %;94018;charenton-le-pont;Scolarisés
30 ans et plus;303;4,1 %;2,2 %;94018;charenton-le-pont;Scolarisés
Aucun diplôme;2 207;10,6 %;20,2 %;94018;charenton-le-pont;Non scolarisés
Brevet des collèges;814;3,9 %;5,5 %;94018;charenton-le-pont;Non scolarisés
CAP / BEP;2 256;10,8 %;29,3 %;94018;charenton-le-pont;Non scolarisés
Baccalauréat / brevet professionnel;3 339;16,0 %;18,8 %;94018;charenton-le-pont;Non scolarisés
De Bac +2 à Bac +4;5 673;27,3 %;19,8 %;94018;charenton-le-pont;Non scolarisés
Bac +5 et plus;6 516;31,3 %;6,5 %;94018;charenton-le-pont;Non scolarisés
2 - 5 ans;751;14,1 %;15,6 %;94021;chevilly-larue;Scolarisés
6 - 10 ans;1 376;25,9 %;29,2 %;94021;chevilly-larue;Scolarisés
11 - 14 ans;1 086;20,4 %;24,9 %;94021;chevilly-larue;Scolarisés
15 - 17 ans;718;13,5 %;18,4 %;94021;chevilly-larue;Scolarisés
18 - 24 ans;1 050;19,7 %;9,1 %;94021;chevilly-larue;Scolarisés
25 - 29 ans;146;2,7 %;0,7 %;94021;chevilly-larue;Scolarisés
30 ans et plus;190;3,6 %;2,2 %;94021;chevilly-larue;Scolarisés
Aucun diplôme;3 190;22,5 %;20,2 %;94021;chevilly-larue;Non scolarisés
Brevet des collèges;841;5,9 %;5,5 %;94021;chevilly-larue;Non scolarisés
CAP / BEP;2 819;19,9 %;29,3 %;94021;chevilly-larue;Non scolarisés
Baccalauréat / brevet professionnel;2 514;17,7 %;18,8 %;94021;chevilly-larue;Non scolarisés
De Bac +2 à Bac +4;3 103;21,9 %;19,8 %;94021;chevilly-larue;Non scolarisés
Bac +5 et plus;1 706;12,0 %;6,5 %;94021;chevilly-larue;Non scolarisés
2 - 5 ans;1 874;15,1 %;15,6 %;94022;choisy-le-roi;Scolarisés
6 - 10 ans;2 887;23,2 %;29,2 %;94022;choisy-le-roi;Scolarisés
11 - 14 ans;2 322;18,7 %;24,9 %;94022;choisy-le-roi;Scolarisés
15 - 17 ans;1 626;13,1 %;18,4 %;94022;choisy-le-roi;Scolarisés
18 - 24 ans;2 707;21,8 %;9,1 %;94022;choisy-le-roi;Scolarisés
25 - 29 ans;488;3,9 %;0,7 %;94022;choisy-le-roi;Scolarisés
30 ans et plus;522;4,2 %;2,2 %;94022;choisy-le-roi;Scolarisés
Aucun diplôme;7 389;23,5 %;20,2 %;94022;choisy-le-roi;Non scolarisés
Brevet des collèges;1 678;5,3 %;5,5 %;94022;choisy-le-roi;Non scolarisés
CAP / BEP;5 512;17,6 %;29,3 %;94022;choisy-le-roi;Non scolarisés
Baccalauréat / brevet professionnel;5 678;18,1 %;18,8 %;94022;choisy-le-roi;Non scolarisés
De Bac +2 à Bac +4;6 686;21,3 %;19,8 %;94022;choisy-le-roi;Non scolarisés
Bac +5 et plus;4 464;14,2 %;6,5 %;94022;choisy-le-roi;Non scolarisés
2 - 5 ans;3 592;13,5 %;15,6 %;94028;creteil;Scolarisés
6 - 10 ans;6 289;23,7 %;29,2 %;94028;creteil;Scolarisés
11 - 14 ans;4 818;18,2 %;24,9 %;94028;creteil;Scolarisés
15 - 17 ans;3 434;13,0 %;18,4 %;94028;creteil;Scolarisés
18 - 24 ans;6 035;22,8 %;9,1 %;94028;creteil;Scolarisés
25 - 29 ans;1 197;4,5 %;0,7 %;94028;creteil;Scolarisés
30 ans et plus;1 152;4,3 %;2,2 %;94028;creteil;Scolarisés
Aucun diplôme;12 395;19,9 %;20,2 %;94028;creteil;Non scolarisés
Brevet des collèges;3 588;5,8 %;5,5 %;94028;creteil;Non scolarisés
CAP / BEP;10 362;16,6 %;29,3 %;94028;creteil;Non scolarisés
Baccalauréat / brevet professionnel;11 777;18,9 %;18,8 %;94028;creteil;Non scolarisés
De Bac +2 à Bac +4;14 264;22,9 %;19,8 %;94028;creteil;Non scolarisés
Bac +5 et plus;9 912;15,9 %;6,5 %;94028;creteil;Non scolarisés
2 - 5 ans;1 902;14,1 %;15,6 %;94033;fontenay-sous-bois;Scolarisés
6 - 10 ans;3 419;25,4 %;29,2 %;94033;fontenay-sous-bois;Scolarisés
11 - 14 ans;2 835;21,0 %;24,9 %;94033;fontenay-sous-bois;Scolarisés
15 - 17 ans;1 887;14,0 %;18,4 %;94033;fontenay-sous-bois;Scolarisés
18 - 24 ans;2 539;18,8 %;9,1 %;94033;fontenay-sous-bois;Scolarisés
25 - 29 ans;307;2,3 %;0,7 %;94033;fontenay-sous-bois;Scolarisés
30 ans et plus;582;4,3 %;2,2 %;94033;fontenay-sous-bois;Scolarisés
Aucun diplôme;5 950;16,4 %;20,2 %;94033;fontenay-sous-bois;Non scolarisés
Brevet des collèges;1 796;5,0 %;5,5 %;94033;fontenay-sous-bois;Non scolarisés
CAP / BEP;5 145;14,2 %;29,3 %;94033;fontenay-sous-bois;Non scolarisés
Baccalauréat / brevet professionnel;5 535;15,3 %;18,8 %;94033;fontenay-sous-bois;Non scolarisés
De Bac +2 à Bac +4;8 936;24,7 %;19,8 %;94033;fontenay-sous-bois;Non scolarisés
Bac +5 et plus;8 841;24,4 %;6,5 %;94033;fontenay-sous-bois;Non scolarisés
2 - 5 ans;1 103;16,0 %;15,6 %;94034;fresnes;Scolarisés
6 - 10 ans;1 857;27,0 %;29,2 %;94034;fresnes;Scolarisés
11 - 14 ans;1 342;19,5 %;24,9 %;94034;fresnes;Scolarisés
15 - 17 ans;882;12,8 %;18,4 %;94034;fresnes;Scolarisés
18 - 24 ans;1 276;18,5 %;9,1 %;94034;fresnes;Scolarisés
25 - 29 ans;203;3,0 %;0,7 %;94034;fresnes;Scolarisés
30 ans et plus;217;3,2 %;2,2 %;94034;fresnes;Scolarisés
Aucun diplôme;3 473;16,9 %;20,2 %;94034;fresnes;Non scolarisés
Brevet des collèges;1 262;6,1 %;5,5 %;94034;fresnes;Non scolarisés
CAP / BEP;4 087;19,9 %;29,3 %;94034;fresnes;Non scolarisés
Baccalauréat / brevet professionnel;3 890;18,9 %;18,8 %;94034;fresnes;Non scolarisés
De Bac +2 à Bac +4;4 681;22,8 %;19,8 %;94034;fresnes;Non scolarisés
Bac +5 et plus;3 162;15,4 %;6,5 %;94034;fresnes;Non scolarisés
2 - 5 ans;1 165;14,0 %;15,6 %;94038;l-hay-les-roses;Scolarisés
6 - 10 ans;2 129;25,6 %;29,2 %;94038;l-hay-les-roses;Scolarisés
11 - 14 ans;1 664;20,0 %;24,9 %;94038;l-hay-les-roses;Scolarisés
15 - 17 ans;1 122;13,5 %;18,4 %;94038;l-hay-les-roses;Scolarisés
18 - 24 ans;1 686;20,3 %;9,1 %;94038;l-hay-les-roses;Scolarisés
25 - 29 ans;235;2,8 %;0,7 %;94038;l-hay-les-roses;Scolarisés
30 ans et plus;318;3,8 %;2,2 %;94038;l-hay-les-roses;Scolarisés
Aucun diplôme;4 236;19,6 %;20,2 %;94038;l-hay-les-roses;Non scolarisés
Brevet des collèges;1 206;5,6 %;5,5 %;94038;l-hay-les-roses;Non scolarisés
CAP / BEP;3 570;16,5 %;29,3 %;94038;l-hay-les-roses;Non scolarisés
Baccalauréat / brevet professionnel;3 525;16,3 %;18,8 %;94038;l-hay-les-roses;Non scolarisés
De Bac +2 à Bac +4;4 918;22,7 %;19,8 %;94038;l-hay-les-roses;Non scolarisés
Bac +5 et plus;4 193;19,4 %;6,5 %;94038;l-hay-les-roses;Non scolarisés
2 - 5 ans;2 333;12,8 %;15,6 %;94041;ivry-sur-seine;Scolarisés
6 - 10 ans;3 769;20,7 %;29,2 %;94041;ivry-sur-seine;Scolarisés
11 - 14 ans;2 776;15,3 %;24,9 %;94041;ivry-sur-seine;Scolarisés
15 - 17 ans;2 101;11,5 %;18,4 %;94041;ivry-sur-seine;Scolarisés
18 - 24 ans;5 250;28,9 %;9,1 %;94041;ivry-sur-seine;Scolarisés
25 - 29 ans;1 002;5,5 %;0,7 %;94041;ivry-sur-seine;Scolarisés
30 ans et plus;960;5,3 %;2,2 %;94041;ivry-sur-seine;Scolarisés
Aucun diplôme;10 702;24,8 %;20,2 %;94041;ivry-sur-seine;Non scolarisés
Brevet des collèges;2 081;4,8 %;5,5 %;94041;ivry-sur-seine;Non scolarisés
CAP / BEP;6 357;14,7 %;29,3 %;94041;ivry-sur-seine;Non scolarisés
Baccalauréat / brevet professionnel;6 765;15,7 %;18,8 %;94041;ivry-sur-seine;Non scolarisés
De Bac +2 à Bac +4;8 769;20,3 %;19,8 %;94041;ivry-sur-seine;Non scolarisés
Bac +5 et plus;8 529;19,7 %;6,5 %;94041;ivry-sur-seine;Non scolarisés
2 - 5 ans;750;15,1 %;15,6 %;94042;joinville-le-pont;Scolarisés
6 - 10 ans;1 140;22,9 %;29,2 %;94042;joinville-le-pont;Scolarisés
11 - 14 ans;901;18,1 %;24,9 %;94042;joinville-le-pont;Scolarisés
15 - 17 ans;670;13,5 %;18,4 %;94042;joinville-le-pont;Scolarisés
18 - 24 ans;1 158;23,3 %;9,1 %;94042;joinville-le-pont;Scolarisés
25 - 29 ans;137;2,8 %;0,7 %;94042;joinville-le-pont;Scolarisés
30 ans et plus;224;4,5 %;2,2 %;94042;joinville-le-pont;Scolarisés
Aucun diplôme;2 301;15,9 %;20,2 %;94042;joinville-le-pont;Non scolarisés
Brevet des collèges;634;4,4 %;5,5 %;94042;joinville-le-pont;Non scolarisés
CAP / BEP;1 894;13,1 %;29,3 %;94042;joinville-le-pont;Non scolarisés
Baccalauréat / brevet professionnel;2 307;15,9 %;18,8 %;94042;joinville-le-pont;Non scolarisés
De Bac +2 à Bac +4;4 020;27,7 %;19,8 %;94042;joinville-le-pont;Non scolarisés
Bac +5 et plus;3 353;23,1 %;6,5 %;94042;joinville-le-pont;Non scolarisés
2 - 5 ans;656;10,3 %;15,6 %;94043;le-kremlin-bicetre;Scolarisés
6 - 10 ans;1 163;18,2 %;29,2 %;94043;le-kremlin-bicetre;Scolarisés
11 - 14 ans;1 019;15,9 %;24,9 %;94043;le-kremlin-bicetre;Scolarisés
15 - 17 ans;724;11,3 %;18,4 %;94043;le-kremlin-bicetre;Scolarisés
18 - 24 ans;2 177;34,1 %;9,1 %;94043;le-kremlin-bicetre;Scolarisés
25 - 29 ans;367;5,7 %;0,7 %;94043;le-kremlin-bicetre;Scolarisés
30 ans et plus;283;4,4 %;2,2 %;94043;le-kremlin-bicetre;Scolarisés
Aucun diplôme;2 577;15,1 %;20,2 %;94043;le-kremlin-bicetre;Non scolarisés
Brevet des collèges;856;5,0 %;5,5 %;94043;le-kremlin-bicetre;Non scolarisés
CAP / BEP;2 398;14,1 %;29,3 %;94043;le-kremlin-bicetre;Non scolarisés
Baccalauréat / brevet professionnel;2 788;16,4 %;18,8 %;94043;le-kremlin-bicetre;Non scolarisés
De Bac +2 à Bac +4;3 972;23,3 %;19,8 %;94043;le-kremlin-bicetre;Non scolarisés
Bac +5 et plus;4 432;26,0 %;6,5 %;94043;le-kremlin-bicetre;Non scolarisés
2 - 5 ans;1 388;18,3 %;15,6 %;94044;limeil-brevannes;Scolarisés
6 - 10 ans;2 187;28,8 %;29,2 %;94044;limeil-brevannes;Scolarisés
11 - 14 ans;1 440;19,0 %;24,9 %;94044;limeil-brevannes;Scolarisés
15 - 17 ans;980;12,9 %;18,4 %;94044;limeil-brevannes;Scolarisés
18 - 24 ans;1 180;15,6 %;9,1 %;94044;limeil-brevannes;Scolarisés
25 - 29 ans;163;2,1 %;0,7 %;94044;limeil-brevannes;Scolarisés
30 ans et plus;247;3,3 %;2,2 %;94044;limeil-brevannes;Scolarisés
Aucun diplôme;3 240;17,3 %;20,2 %;94044;limeil-brevannes;Non scolarisés
Brevet des collèges;815;4,4 %;5,5 %;94044;limeil-brevannes;Non scolarisés
CAP / BEP;3 704;19,8 %;29,3 %;94044;limeil-brevannes;Non scolarisés
Baccalauréat / brevet professionnel;3 915;20,9 %;18,8 %;94044;limeil-brevannes;Non scolarisés
De Bac +2 à Bac +4;4 883;26,1 %;19,8 %;94044;limeil-brevannes;Non scolarisés
Bac +5 et plus;2 145;11,5 %;6,5 %;94044;limeil-brevannes;Non scolarisés
2 - 5 ans;2 060;14,3 %;15,6 %;94046;maisons-alfort;Scolarisés
6 - 10 ans;3 049;21,1 %;29,2 %;94046;maisons-alfort;Scolarisés
11 - 14 ans;2 346;16,3 %;24,9 %;94046;maisons-alfort;Scolarisés
15 - 17 ans;1 843;12,8 %;18,4 %;94046;maisons-alfort;Scolarisés
18 - 24 ans;3 775;26,2 %;9,1 %;94046;maisons-alfort;Scolarisés
25 - 29 ans;814;5,6 %;0,7 %;94046;maisons-alfort;Scolarisés
30 ans et plus;545;3,8 %;2,2 %;94046;maisons-alfort;Scolarisés
Aucun diplôme;5 296;12,8 %;20,2 %;94046;maisons-alfort;Non scolarisés
Brevet des collèges;2 071;5,0 %;5,5 %;94046;maisons-alfort;Non scolarisés
CAP / BEP;5 871;14,2 %;29,3 %;94046;maisons-alfort;Non scolarisés
Baccalauréat / brevet professionnel;6 911;16,7 %;18,8 %;94046;maisons-alfort;Non scolarisés
De Bac +2 à Bac +4;11 051;26,7 %;19,8 %;94046;maisons-alfort;Non scolarisés
Bac +5 et plus;10 150;24,5 %;6,5 %;94046;maisons-alfort;Non scolarisés
2 - 5 ans;1 117;13,8 %;15,6 %;94052;nogent-sur-marne;Scolarisés
6 - 10 ans;1 850;22,9 %;29,2 %;94052;nogent-sur-marne;Scolarisés
11 - 14 ans;1 656;20,5 %;24,9 %;94052;nogent-sur-marne;Scolarisés
15 - 17 ans;1 190;14,7 %;18,4 %;94052;nogent-sur-marne;Scolarisés
18 - 24 ans;1 614;20,0 %;9,1 %;94052;nogent-sur-marne;Scolarisés
25 - 29 ans;279;3,5 %;0,7 %;94052;nogent-sur-marne;Scolarisés
30 ans et plus;371;4,6 %;2,2 %;94052;nogent-sur-marne;Scolarisés
