Catégorie socioprofessionnelle,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Agriculteurs exploitants,10,"0,0",6,"0,0",9,"0,0",92050,nanterre
"Artisans, commerçants, chefs d'entreprise",1509,"2,2",1663,"2,3",2165,"2,8",92050,nanterre
Cadres et professions intellectuelles supérieures,8821,"12,6",10321,"14,0",13618,"17,4",92050,nanterre
Professions intermédiaires,10421,"14,9",10950,"14,9",11707,"15,0",92050,nanterre
Employés,15667,"22,4",16135,"21,9",15086,"19,3",92050,nanterre
Ouvriers,7409,"10,6",6937,"9,4",6525,"8,3",92050,nanterre
Retraités,11546,"16,5",11600,"15,7",11978,"15,3",92050,nanterre
Autres personnes sans activité professionnelle,14601,"20,9",16051,"21,8",17061,"21,8",92050,nanterre
Ensemble,50979,"100,0",50484,"100,0",50032,"100,0",92051,neuilly-sur-seine
Agriculteurs exploitants,109,"0,2",39,"0,1",18,"0,0",92051,neuilly-sur-seine
"Artisans, commerçants, chefs d'entreprise",2973,"5,8",3232,"6,4",3306,"6,6",92051,neuilly-sur-seine
Cadres et professions intellectuelles supérieures,14961,"29,3",15305,"30,3",15787,"31,6",92051,neuilly-sur-seine
Professions intermédiaires,4976,"9,8",5134,"10,2",5225,"10,4",92051,neuilly-sur-seine
Employés,4786,"9,4",4518,"8,9",4232,"8,5",92051,neuilly-sur-seine
Ouvriers,1078,"2,1",907,"1,8",922,"1,8",92051,neuilly-sur-seine
Retraités,11711,"23,0",11432,"22,6",11236,"22,5",92051,neuilly-sur-seine
Autres personnes sans activité professionnelle,10386,"20,4",9916,"19,6",9307,"18,6",92051,neuilly-sur-seine
Ensemble,21924,"100,0",22902,"100,0",23369,"100,0",92060,le-plessis-robinson
Agriculteurs exploitants,2,"0,0",3,"0,0",0,"0,0",92060,le-plessis-robinson
"Artisans, commerçants, chefs d'entreprise",455,"2,1",550,"2,4",706,"3,0",92060,le-plessis-robinson
Cadres et professions intellectuelles supérieures,5166,"23,6",5715,"25,0",6058,"25,9",92060,le-plessis-robinson
Professions intermédiaires,4242,"19,3",4263,"18,6",4203,"18,0",92060,le-plessis-robinson
Employés,3834,"17,5",3550,"15,5",3493,"14,9",92060,le-plessis-robinson
Ouvriers,1468,"6,7",1273,"5,6",955,"4,1",92060,le-plessis-robinson
Retraités,4120,"18,8",4668,"20,4",4818,"20,6",92060,le-plessis-robinson
Autres personnes sans activité professionnelle,2636,"12,0",2879,"12,6",3136,"13,4",92060,le-plessis-robinson
Ensemble,36306,"100,0",36483,"100,0",35506,"100,0",92062,puteaux
Agriculteurs exploitants,12,"0,0",1,"0,0",0,"0,0",92062,puteaux
"Artisans, commerçants, chefs d'entreprise",961,"2,6",1275,"3,5",1067,"3,0",92062,puteaux
Cadres et professions intellectuelles supérieures,10364,"28,5",10932,"30,0",12437,"35,0",92062,puteaux
Professions intermédiaires,6372,"17,5",6005,"16,5",5431,"15,3",92062,puteaux
Employés,5550,"15,3",5393,"14,8",4277,"12,0",92062,puteaux
Ouvriers,2050,"5,6",1988,"5,4",1275,"3,6",92062,puteaux
Retraités,6022,"16,6",5754,"15,8",5990,"16,9",92062,puteaux
Autres personnes sans activité professionnelle,4975,"13,7",5136,"14,1",5029,"14,2",92062,puteaux
Ensemble,63222,"100,0",62907,"100,0",63414,"100,0",92063,rueil-malmaison
Agriculteurs exploitants,11,"0,0",10,"0,0",12,"0,0",92063,rueil-malmaison
"Artisans, commerçants, chefs d'entreprise",1812,"2,9",1869,"3,0",2105,"3,3",92063,rueil-malmaison
Cadres et professions intellectuelles supérieures,17176,"27,2",16959,"27,0",18517,"29,2",92063,rueil-malmaison
Professions intermédiaires,10792,"17,1",10430,"16,6",9977,"15,7",92063,rueil-malmaison
Employés,8409,"13,3",8125,"12,9",7472,"11,8",92063,rueil-malmaison
Ouvriers,2833,"4,5",2826,"4,5",2464,"3,9",92063,rueil-malmaison
Retraités,12849,"20,3",13129,"20,9",13033,"20,6",92063,rueil-malmaison
Autres personnes sans activité professionnelle,9342,"14,8",9560,"15,2",9834,"15,5",92063,rueil-malmaison
Ensemble,23838,"100,0",23768,"100,0",24076,"100,0",92064,saint-cloud
Agriculteurs exploitants,32,"0,1",3,"0,0",7,"0,0",92064,saint-cloud
"Artisans, commerçants, chefs d'entreprise",935,"3,9",906,"3,8",1009,"4,2",92064,saint-cloud
Cadres et professions intellectuelles supérieures,7532,"31,6",7427,"31,2",8841,"36,7",92064,saint-cloud
Professions intermédiaires,3027,"12,7",3055,"12,9",3080,"12,8",92064,saint-cloud
Employés,2273,"9,5",2564,"10,8",1956,"8,1",92064,saint-cloud
Ouvriers,653,"2,7",615,"2,6",388,"1,6",92064,saint-cloud
Retraités,5101,"21,4",4993,"21,0",4714,"19,6",92064,saint-cloud
Autres personnes sans activité professionnelle,4286,"18,0",4204,"17,7",4081,"16,9",92064,saint-cloud
Ensemble,16218,"100,0",16028,"100,0",16782,"100,0",92071,sceaux
Agriculteurs exploitants,1,"0,0",0,"0,0",4,"0,0",92071,sceaux
"Artisans, commerçants, chefs d'entreprise",424,"2,6",501,"3,1",549,"3,3",92071,sceaux
Cadres et professions intellectuelles supérieures,4383,"27,0",4318,"26,9",4886,"29,1",92071,sceaux
Professions intermédiaires,2210,"13,6",1939,"12,1",2113,"12,6",92071,sceaux
Employés,1502,"9,3",1638,"10,2",1603,"9,6",92071,sceaux
Ouvriers,471,"2,9",472,"2,9",438,"2,6",92071,sceaux
Retraités,4040,"24,9",3831,"23,9",3858,"23,0",92071,sceaux
Autres personnes sans activité professionnelle,3187,"19,7",3328,"20,8",3331,"19,8",92071,sceaux
Ensemble,18365,"100,0",18699,"100,0",18716,"100,0",92072,sevres
Agriculteurs exploitants,14,"0,1",0,"0,0",2,"0,0",92072,sevres
"Artisans, commerçants, chefs d'entreprise",514,"2,8",697,"3,7",611,"3,3",92072,sevres
Cadres et professions intellectuelles supérieures,5058,"27,5",4958,"26,5",5929,"31,7",92072,sevres
Professions intermédiaires,2924,"15,9",2744,"14,7",2859,"15,3",92072,sevres
Employés,2388,"13,0",2397,"12,8",2153,"11,5",92072,sevres
Ouvriers,875,"4,8",817,"4,4",482,"2,6",92072,sevres
Retraités,3543,"19,3",4136,"22,1",3965,"21,2",92072,sevres
Autres personnes sans activité professionnelle,3049,"16,6",2950,"15,8",2715,"14,5",92072,sevres
Ensemble,36711,"100,0",38695,"100,0",39297,"100,0",92073,suresnes
Agriculteurs exploitants,6,"0,0",0,"0,0",1,"0,0",92073,suresnes
"Artisans, commerçants, chefs d'entreprise",1171,"3,2",1413,"3,7",1518,"3,9",92073,suresnes
Cadres et professions intellectuelles supérieures,10268,"28,0",11246,"29,1",12608,"32,1",92073,suresnes
Professions intermédiaires,6057,"16,5",6113,"15,8",5989,"15,2",92073,suresnes
Employés,5661,"15,4",5936,"15,3",5447,"13,9",92073,suresnes
Ouvriers,2077,"5,7",2005,"5,2",1732,"4,4",92073,suresnes
Retraités,6236,"17,0",6328,"16,4",6423,"16,3",92073,suresnes
Autres personnes sans activité professionnelle,5235,"14,3",5654,"14,6",5579,"14,2",92073,suresnes
Ensemble,22299,"100,0",23204,"100,0",23217,"100,0",92075,vanves
Agriculteurs exploitants,22,"0,1",3,"0,0",0,"0,0",92075,vanves
"Artisans, commerçants, chefs d'entreprise",624,"2,8",545,"2,3",676,"2,9",92075,vanves
Cadres et professions intellectuelles supérieures,5193,"23,3",6272,"27,0",6754,"29,1",92075,vanves
Professions intermédiaires,4043,"18,1",4028,"17,4",3694,"15,9",92075,vanves
Employés,3489,"15,6",2902,"12,5",2729,"11,8",92075,vanves
Ouvriers,1048,"4,7",959,"4,1",949,"4,1",92075,vanves
Retraités,4567,"20,5",4837,"20,8",4622,"19,9",92075,vanves
Autres personnes sans activité professionnelle,3312,"14,9",3657,"15,8",3793,"16,3",92075,vanves
Ensemble,19002,"100,0",18687,"100,0",19745,"100,0",92078,villeneuve-la-garenne
Agriculteurs exploitants,12,"0,1",0,"0,0",5,"0,0",92078,villeneuve-la-garenne
"Artisans, commerçants, chefs d'entreprise",448,"2,4",430,"2,3",596,"3,0",92078,villeneuve-la-garenne
Cadres et professions intellectuelles supérieures,1217,"6,4",1285,"6,9",1446,"7,3",92078,villeneuve-la-garenne
Professions intermédiaires,2794,"14,7",2528,"13,5",2741,"13,9",92078,villeneuve-la-garenne
Employés,4601,"24,2",4462,"23,9",3986,"20,2",92078,villeneuve-la-garenne
Ouvriers,2919,"15,4",2491,"13,3",2518,"12,8",92078,villeneuve-la-garenne
Retraités,2880,"15,2",3385,"18,1",3048,"15,4",92078,villeneuve-la-garenne
Autres personnes sans activité professionnelle,4131,"21,7",4106,"22,0",5405,"27,4",92078,villeneuve-la-garenne
Ensemble,59396,"100,0",65133,"100,0",70517,"100,0",93001,aubervilliers
Agriculteurs exploitants,6,"0,0",21,"0,0",8,"0,0",93001,aubervilliers
"Artisans, commerçants, chefs d'entreprise",1930,"3,2",2125,"3,3",2471,"3,5",93001,aubervilliers
Cadres et professions intellectuelles supérieures,2704,"4,6",3395,"5,2",5207,"7,4",93001,aubervilliers
Professions intermédiaires,5847,"9,8",6709,"10,3",7791,"11,0",93001,aubervilliers
Employés,13657,"23,0",14665,"22,5",14936,"21,2",93001,aubervilliers
Ouvriers,10895,"18,3",11397,"17,5",11833,"16,8",93001,aubervilliers
Retraités,8973,"15,1",8569,"13,2",7808,"11,1",93001,aubervilliers
Autres personnes sans activité professionnelle,15384,"25,9",18252,"28,0",20463,"29,0",93001,aubervilliers
Ensemble,62824,"100,0",63776,"100,0",66740,"100,0",93005,aulnay-sous-bois
Agriculteurs exploitants,3,"0,0",2,"0,0",12,"0,0",93005,aulnay-sous-bois
"Artisans, commerçants, chefs d'entreprise",1744,"2,8",2017,"3,2",1972,"3,0",93005,aulnay-sous-bois
Cadres et professions intellectuelles supérieures,4362,"6,9",4300,"6,7",5063,"7,6",93005,aulnay-sous-bois
Professions intermédiaires,8354,"13,3",8360,"13,1",8836,"13,2",93005,aulnay-sous-bois
Employés,12607,"20,1",12557,"19,7",12541,"18,8",93005,aulnay-sous-bois
Ouvriers,10408,"16,6",9488,"14,9",9592,"14,4",93005,aulnay-sous-bois
Retraités,11343,"18,1",12235,"19,2",11191,"16,8",93005,aulnay-sous-bois
Autres personnes sans activité professionnelle,14002,"22,3",14818,"23,2",17534,"26,3",93005,aulnay-sous-bois
Ensemble,26810,"100,0",28414,"100,0",31698,"100,0",93006,bagnolet
Agriculteurs exploitants,3,"0,0",5,"0,0",0,"0,0",93006,bagnolet
"Artisans, commerçants, chefs d'entreprise",899,"3,4",925,"3,3",1128,"3,6",93006,bagnolet
Cadres et professions intellectuelles supérieures,3173,"11,8",3353,"11,8",4761,"15,0",93006,bagnolet
Professions intermédiaires,3900,"14,5",4219,"14,8",4801,"15,1",93006,bagnolet
Employés,5486,"20,5",5761,"20,3",6127,"19,3",93006,bagnolet
Ouvriers,3355,"12,5",3652,"12,9",3418,"10,8",93006,bagnolet
Retraités,4842,"18,1",4944,"17,4",4819,"15,2",93006,bagnolet
Autres personnes sans activité professionnelle,5152,"19,2",5556,"19,6",6644,"21,0",93006,bagnolet
Ensemble,39100,"100,0",41833,"100,0",45378,"100,0",93007,le-blanc-mesnil
Agriculteurs exploitants,0,"0,0",6,"0,0",0,"0,0",93007,le-blanc-mesnil
"Artisans, commerçants, chefs d'entreprise",1199,"3,1",1385,"3,3",1778,"3,9",93007,le-blanc-mesnil
Cadres et professions intellectuelles supérieures,1730,"4,4",1679,"4,0",2202,"4,9",93007,le-blanc-mesnil
Professions intermédiaires,5151,"13,2",5154,"12,3",5551,"12,2",93007,le-blanc-mesnil
Employés,8933,"22,8",9314,"22,3",9362,"20,6",93007,le-blanc-mesnil
Ouvriers,6772,"17,3",7167,"17,1",7278,"16,0",93007,le-blanc-mesnil
Retraités,6936,"17,7",7380,"17,6",7025,"15,5",93007,le-blanc-mesnil
Autres personnes sans activité professionnelle,8378,"21,4",9748,"23,3",12182,"26,8",93007,le-blanc-mesnil
Ensemble,36209,"100,0",39175,"100,0",42913,"100,0",93008,bobigny
Agriculteurs exploitants,0,"0,0",5,"0,0",6,"0,0",93008,bobigny
"Artisans, commerçants, chefs d'entreprise",953,"2,6",1014,"2,6",1243,"2,9",93008,bobigny
Cadres et professions intellectuelles supérieures,1526,"4,2",1717,"4,4",2048,"4,8",93008,bobigny
Professions intermédiaires,3704,"10,2",4218,"10,8",4204,"9,8",93008,bobigny
Employés,8471,"23,4",8891,"22,7",8763,"20,4",93008,bobigny
Ouvriers,6191,"17,1",6509,"16,6",6474,"15,1",93008,bobigny
Retraités,5939,"16,4",5719,"14,6",5588,"13,0",93008,bobigny
Autres personnes sans activité professionnelle,9425,"26,0",11102,"28,3",14587,"34,0",93008,bobigny
Ensemble,41144,"100,0",40806,"100,0",40100,"100,0",93010,bondy
Agriculteurs exploitants,13,"0,0",0,"0,0",12,"0,0",93010,bondy
"Artisans, commerçants, chefs d'entreprise",1201,"2,9",1325,"3,2",1374,"3,4",93010,bondy
Cadres et professions intellectuelles supérieures,2339,"5,7",2326,"5,7",2609,"6,5",93010,bondy
Professions intermédiaires,5816,"14,1",5385,"13,2",5027,"12,5",93010,bondy
Employés,9121,"22,2",9042,"22,2",8484,"21,2",93010,bondy
Ouvriers,6163,"15,0",6307,"15,5",5645,"14,1",93010,bondy
Retraités,7515,"18,3",7282,"17,8",6632,"16,5",93010,bondy
Autres personnes sans activité professionnelle,8977,"21,8",9140,"22,4",10317,"25,7",93010,bondy
Ensemble,21286,"100,0",21367,"100,0",21964,"100,0",93014,clichy-sous-bois
Agriculteurs exploitants,0,"0,0",6,"0,0",0,"0,0",93014,clichy-sous-bois
"Artisans, commerçants, chefs d'entreprise",645,"3,0",639,"3,0",720,"3,3",93014,clichy-sous-bois
Cadres et professions intellectuelles supérieures,541,"2,5",588,"2,8",653,"3,0",93014,clichy-sous-bois
Professions intermédiaires,1886,"8,9",1878,"8,8",2119,"9,6",93014,clichy-sous-bois
Employés,4668,"21,9",4285,"20,1",3868,"17,6",93014,clichy-sous-bois
Ouvriers,4218,"19,8",4074,"19,1",3532,"16,1",93014,clichy-sous-bois
Retraités,2391,"11,2",2632,"12,3",2723,"12,4",93014,clichy-sous-bois
Autres personnes sans activité professionnelle,6937,"32,6",7264,"34,0",8348,"38,0",93014,clichy-sous-bois
Ensemble,28887,"100,0",31845,"100,0",36176,"100,0",93027,la-courneuve
Agriculteurs exploitants,8,"0,0",7,"0,0",28,"0,1",93027,la-courneuve
"Artisans, commerçants, chefs d'entreprise",858,"3,0",1027,"3,2",1391,"3,8",93027,la-courneuve
Cadres et professions intellectuelles supérieures,884,"3,1",1121,"3,5",1432,"4,0",93027,la-courneuve
Professions intermédiaires,2695,"9,3",3028,"9,5",3362,"9,3",93027,la-courneuve
Employés,6705,"23,2",7601,"23,9",7508,"20,8",93027,la-courneuve
Ouvriers,5598,"19,4",6024,"18,9",7369,"20,4",93027,la-courneuve
Retraités,4049,"14,0",4425,"13,9",4208,"11,6",93027,la-courneuve
Autres personnes sans activité professionnelle,8090,"28,0",8613,"27,0",10879,"30,1",93027,la-courneuve
Ensemble,52279,"100,0",54621,"100,0",55847,"100,0",93029,drancy
Agriculteurs exploitants,12,"0,0",0,"0,0",0,"0,0",93029,drancy
"Artisans, commerçants, chefs d'entreprise",1563,"3,0",1919,"3,5",2027,"3,6",93029,drancy
Cadres et professions intellectuelles supérieures,2812,"5,4",2658,"4,9",3192,"5,7",93029,drancy
Professions intermédiaires,7149,"13,7",7006,"12,8",7369,"13,2",93029,drancy
Employés,11099,"21,2",12020,"22,0",11407,"20,4",93029,drancy
Ouvriers,8275,"15,8",8706,"15,9",8542,"15,3",93029,drancy
Retraités,10609,"20,3",10486,"19,2",9488,"17,0",93029,drancy
Autres personnes sans activité professionnelle,10761,"20,6",11827,"21,7",13822,"24,8",93029,drancy
Ensemble,40836,"100,0",41698,"100,0",41494,"100,0",93031,epinay-sur-seine
Agriculteurs exploitants,5,"0,0",8,"0,0",2,"0,0",93031,epinay-sur-seine
"Artisans, commerçants, chefs d'entreprise",1065,"2,6",1037,"2,5",1242,"3,0",93031,epinay-sur-seine
Cadres et professions intellectuelles supérieures,1949,"4,8",1945,"4,7",3453,"8,3",93031,epinay-sur-seine
Professions intermédiaires,5422,"13,3",4815,"11,5",5667,"13,7",93031,epinay-sur-seine
Employés,9259,"22,7",9528,"22,8",8820,"21,3",93031,epinay-sur-seine
Ouvriers,6231,"15,3",6296,"15,1",5343,"12,9",93031,epinay-sur-seine
Retraités,6550,"16,0",7245,"17,4",6313,"15,2",93031,epinay-sur-seine
Autres personnes sans activité professionnelle,10354,"25,4",10825,"26,0",10656,"25,7",93031,epinay-sur-seine
Ensemble,30716,"100,0",30964,"100,0",31260,"100,0",93032,gagny
Agriculteurs exploitants,0,"0,0",0,"0,0",7,"0,0",93032,gagny
"Artisans, commerçants, chefs d'entreprise",857,"2,8",921,"3,0",1011,"3,2",93032,gagny
Cadres et professions intellectuelles supérieures,2996,"9,8",3382,"10,9",3751,"12,0",93032,gagny
Professions intermédiaires,5420,"17,6",5588,"18,0",5621,"18,0",93032,gagny
Employés,6207,"20,2",5965,"19,3",5489,"17,6",93032,gagny
Ouvriers,3293,"10,7",3316,"10,7",3420,"10,9",93032,gagny
Retraités,6831,"22,2",6555,"21,2",5869,"18,8",93032,gagny
Autres personnes sans activité professionnelle,5111,"16,6",5236,"16,9",6092,"19,5",93032,gagny
Ensemble,18059,"100,0",18480,"100,0",19322,"100,0",93045,les-lilas
Agriculteurs exploitants,1,"0,0",2,"0,0",1,"0,0",93045,les-lilas
"Artisans, commerçants, chefs d'entreprise",609,"3,4",683,"3,7",791,"4,1",93045,les-lilas
Cadres et professions intellectuelles supérieures,2931,"16,2",3432,"18,6",3968,"20,5",93045,les-lilas
Professions intermédiaires,3512,"19,4",3441,"18,6",3356,"17,4",93045,les-lilas
Employés,3132,"17,3",2975,"16,1",2798,"14,5",93045,les-lilas
Ouvriers,1257,"7,0",1318,"7,1",1227,"6,3",93045,les-lilas
Retraités,3860,"21,4",3756,"20,3",3795,"19,6",93045,les-lilas
Autres personnes sans activité professionnelle,2756,"15,3",2872,"15,5",3387,"17,5",93045,les-lilas
Ensemble,33639,"100,0",35136,"100,0",35850,"100,0",93046,livry-gargan
Agriculteurs exploitants,11,"0,0",1,"0,0",0,"0,0",93046,livry-gargan
"Artisans, commerçants, chefs d'entreprise",1172,"3,5",1283,"3,7",1361,"3,8",93046,livry-gargan
Cadres et professions intellectuelles supérieures,2789,"8,3",2912,"8,3",3337,"9,3",93046,livry-gargan
Professions intermédiaires,6355,"18,9",6271,"17,8",6083,"17,0",93046,livry-gargan
Employés,6381,"19,0",6876,"19,6",6966,"19,4",93046,livry-gargan
Ouvriers,3808,"11,3",4134,"11,8",4208,"11,7",93046,livry-gargan
Retraités,7640,"22,7",7377,"21,0",6927,"19,3",93046,livry-gargan
Autres personnes sans activité professionnelle,5483,"16,3",6282,"17,9",6968,"19,4",93046,livry-gargan
Ensemble,19669,"100,0",19810,"100,0",21014,"100,0",93047,montfermeil
Agriculteurs exploitants,0,"0,0",0,"0,0",5,"0,0",93047,montfermeil
"Artisans, commerçants, chefs d'entreprise",734,"3,7",785,"4,0",941,"4,5",93047,montfermeil
Cadres et professions intellectuelles supérieures,1121,"5,7",1252,"6,3",1481,"7,0",93047,montfermeil
Professions intermédiaires,2548,"13,0",2940,"14,8",3109,"14,8",93047,montfermeil
Employés,3674,"18,7",3538,"17,9",3694,"17,6",93047,montfermeil
Ouvriers,2888,"14,7",2476,"12,5",2774,"13,2",93047,montfermeil
Retraités,4043,"20,6",3945,"19,9",3833,"18,2",93047,montfermeil
Autres personnes sans activité professionnelle,4660,"23,7",4874,"24,6",5177,"24,6",93047,montfermeil
Ensemble,81460,"100,0",85000,"100,0",89719,"100,0",93048,montreuil
Agriculteurs exploitants,17,"0,0",7,"0,0",0,"0,0",93048,montreuil
"Artisans, commerçants, chefs d'entreprise",2208,"2,7",2621,"3,1",2831,"3,2",93048,montreuil
Cadres et professions intellectuelles supérieures,11460,"14,1",13703,"16,1",17343,"19,3",93048,montreuil
Professions intermédiaires,12871,"15,8",14294,"16,8",14492,"16,2",93048,montreuil
Employés,15559,"19,1",15520,"18,3",14918,"16,6",93048,montreuil
Ouvriers,10825,"13,3",9544,"11,2",8536,"9,5",93048,montreuil
Retraités,13928,"17,1",14173,"16,7",14058,"15,7",93048,montreuil
Autres personnes sans activité professionnelle,14592,"17,9",15137,"17,8",17542,"19,6",93048,montreuil
Ensemble,16606,"100,0",16924,"100,0",17359,"100,0",93049,neuilly-plaisance
Agriculteurs exploitants,0,"0,0",0,"0,0",2,"0,0",93049,neuilly-plaisance
"Artisans, commerçants, chefs d'entreprise",507,"3,1",627,"3,7",669,"3,9",93049,neuilly-plaisance
Cadres et professions intellectuelles supérieures,2503,"15,1",2916,"17,2",3032,"17,5",93049,neuilly-plaisance
Professions intermédiaires,3117,"18,8",2921,"17,3",3253,"18,7",93049,neuilly-plaisance
Employés,2867,"17,3",3113,"18,4",2727,"15,7",93049,neuilly-plaisance
Ouvriers,1637,"9,9",1490,"8,8",1404,"8,1",93049,neuilly-plaisance
Retraités,3446,"20,7",3312,"19,6",3495,"20,1",93049,neuilly-plaisance
Autres personnes sans activité professionnelle,2529,"15,2",2544,"15,0",2776,"16,0",93049,neuilly-plaisance
Ensemble,26232,"100,0",27022,"100,0",29492,"100,0",93050,neuilly-sur-marne
Agriculteurs exploitants,0,"0,0",8,"0,0",1,"0,0",93050,neuilly-sur-marne
"Artisans, commerçants, chefs d'entreprise",623,"2,4",588,"2,2",820,"2,8",93050,neuilly-sur-marne
Cadres et professions intellectuelles supérieures,2464,"9,4",2313,"8,6",2761,"9,4",93050,neuilly-sur-marne
Professions intermédiaires,4881,"18,6",4738,"17,5",4484,"15,2",93050,neuilly-sur-marne
Employés,6264,"23,9",6507,"24,1",6934,"23,5",93050,neuilly-sur-marne
Ouvriers,3244,"12,4",3368,"12,5",3246,"11,0",93050,neuilly-sur-marne
Retraités,4670,"17,8",4557,"16,9",4765,"16,2",93050,neuilly-sur-marne
Autres personnes sans activité professionnelle,4086,"15,6",4942,"18,3",6481,"22,0",93050,neuilly-sur-marne
Ensemble,50032,"100,0",52297,"100,0",56515,"100,0",93051,noisy-le-grand
Agriculteurs exploitants,5,"0,0",10,"0,0",0,"0,0",93051,noisy-le-grand
"Artisans, commerçants, chefs d'entreprise",1424,"2,8",1415,"2,7",1743,"3,1",93051,noisy-le-grand
Cadres et professions intellectuelles supérieures,6702,"13,4",7107,"13,6",8565,"15,2",93051,noisy-le-grand
Professions intermédiaires,9243,"18,5",8923,"17,1",9568,"16,9",93051,noisy-le-grand
Employés,10487,"21,0",10547,"20,2",10845,"19,2",93051,noisy-le-grand
Ouvriers,5478,"10,9",5487,"10,5",5287,"9,4",93051,noisy-le-grand
Retraités,8185,"16,4",9477,"18,1",9812,"17,4",93051,noisy-le-grand
Autres personnes sans activité professionnelle,8508,"17,0",9333,"17,8",10696,"18,9",93051,noisy-le-grand
Ensemble,30657,"100,0",33078,"100,0",34849,"100,0",93053,noisy-le-sec
Agriculteurs exploitants,0,"0,0",7,"0,0",0,"0,0",93053,noisy-le-sec
"Artisans, commerçants, chefs d'entreprise",734,"2,4",974,"2,9",1241,"3,6",93053,noisy-le-sec
Cadres et professions intellectuelles supérieures,2210,"7,2",2409,"7,3",3194,"9,2",93053,noisy-le-sec
Professions intermédiaires,4565,"14,9",4463,"13,5",5095,"14,6",93053,noisy-le-sec
Employés,7299,"23,8",7384,"22,3",7662,"22,0",93053,noisy-le-sec
Ouvriers,4708,"15,4",4506,"13,6",4473,"12,8",93053,noisy-le-sec
Retraités,5353,"17,5",5509,"16,7",5064,"14,5",93053,noisy-le-sec
Autres personnes sans activité professionnelle,5789,"18,9",7827,"23,7",8118,"23,3",93053,noisy-le-sec
Ensemble,42696,"100,0",43709,"100,0",47925,"100,0",93055,pantin
Agriculteurs exploitants,0,"0,0",4,"0,0",1,"0,0",93055,pantin
"Artisans, commerçants, chefs d'entreprise",1240,"2,9",1323,"3,0",1655,"3,5",93055,pantin
Cadres et professions intellectuelles supérieures,4565,"10,7",5622,"12,9",7615,"15,9",93055,pantin
Professions intermédiaires,6680,"15,6",6695,"15,3",7643,"15,9",93055,pantin
Employés,8876,"20,8",8917,"20,4",8800,"18,4",93055,pantin
Ouvriers,5799,"13,6",5453,"12,5",5103,"10,6",93055,pantin
Retraités,6679,"15,6",7176,"16,4",6565,"13,7",93055,pantin
Autres personnes sans activité professionnelle,8856,"20,7",8521,"19,5",10544,"22,0",93055,pantin
Ensemble,17190,"100,0",18121,"100,0",18647,"100,0",93057,les-pavillons-sous-bois
Agriculteurs exploitants,0,"0,0",0,"0,0",1,"0,0",93057,les-pavillons-sous-bois
"Artisans, commerçants, chefs d'entreprise",672,"3,9",690,"3,8",901,"4,8",93057,les-pavillons-sous-bois
Cadres et professions intellectuelles supérieures,1623,"9,4",1804,"10,0",1775,"9,5",93057,les-pavillons-sous-bois
Professions intermédiaires,3053,"17,8",3186,"17,6",3213,"17,2",93057,les-pavillons-sous-bois
Employés,3465,"20,2",3661,"20,2",3535,"19,0",93057,les-pavillons-sous-bois
Ouvriers,2079,"12,1",2165,"11,9",2476,"13,3",93057,les-pavillons-sous-bois
Retraités,3477,"20,2",3467,"19,1",3223,"17,3",93057,les-pavillons-sous-bois
Autres personnes sans activité professionnelle,2821,"16,4",3149,"17,4",3523,"18,9",93057,les-pavillons-sous-bois
Ensemble,21173,"100,0",22035,"100,0",24409,"100,0",93059,pierrefitte-sur-seine
Agriculteurs exploitants,0,"0,0",0,"0,0",0,"0,0",93059,pierrefitte-sur-seine
"Artisans, commerçants, chefs d'entreprise",564,"2,7",717,"3,3",707,"2,9",93059,pierrefitte-sur-seine
Cadres et professions intellectuelles supérieures,853,"4,0",1077,"4,9",1240,"5,1",93059,pierrefitte-sur-seine
Professions intermédiaires,2478,"11,7",2422,"11,0",2879,"11,8",93059,pierrefitte-sur-seine
Employés,5010,"23,7",4974,"22,6",4851,"19,9",93059,pierrefitte-sur-seine
Ouvriers,3815,"18,0",3667,"16,6",4337,"17,8",93059,pierrefitte-sur-seine
Retraités,3300,"15,6",3311,"15,0",3004,"12,3",93059,pierrefitte-sur-seine
Autres personnes sans activité professionnelle,5150,"24,3",5865,"26,6",7393,"30,3",93059,pierrefitte-sur-seine
Ensemble,20118,"100,0",20171,"100,0",26167,"100,0",93063,romainville
Agriculteurs exploitants,1,"0,0",1,"0,0",0,"0,0",93063,romainville
"Artisans, commerçants, chefs d'entreprise",728,"3,6",660,"3,3",1005,"3,8",93063,romainville
Cadres et professions intellectuelles supérieures,1627,"8,1",1929,"9,6",3849,"14,7",93063,romainville
Professions intermédiaires,2708,"13,5",3134,"15,5",4840,"18,5",93063,romainville
Employés,4247,"21,1",4266,"21,2",4657,"17,8",93063,romainville
Ouvriers,2733,"13,6",2442,"12,1",2463,"9,4",93063,romainville
Retraités,4054,"20,1",3891,"19,3",3858,"14,7",93063,romainville
Autres personnes sans activité professionnelle,4019,"20,0",3848,"19,1",5495,"21,0",93063,romainville
Ensemble,32822,"100,0",34884,"100,0",35603,"100,0",93064,rosny-sous-bois
Agriculteurs exploitants,0,"0,0",7,"0,0",0,"0,0",93064,rosny-sous-bois
"Artisans, commerçants, chefs d'entreprise",781,"2,4",852,"2,4",1018,"2,9",93064,rosny-sous-bois
Cadres et professions intellectuelles supérieures,3339,"10,2",3567,"10,2",4637,"13,0",93064,rosny-sous-bois
Professions intermédiaires,6035,"18,4",6076,"17,4",5996,"16,8",93064,rosny-sous-bois
