Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Appartements,73 825,"83,4",76 707,"84,0",83 746,"84,7",21231,dijon
Ensemble,10 752,"100,0",11 372,"100,0",11 840,"100,0",22113,lannion
Résidences principales,9 561,"88,9",9 990,"87,8",10 404,"87,9",22113,lannion
Résidences secondaires et logements occasionnels,447,"4,2",508,"4,5",696,"5,9",22113,lannion
Logements vacants,743,"6,9",874,"7,7",740,"6,2",22113,lannion
,,,,,,,22113,lannion
Maisons,6 495,"60,4",7 031,"61,8",7 170,"60,6",22113,lannion
Appartements,4 133,"38,4",4 251,"37,4",4 602,"38,9",22113,lannion
Ensemble,26 324,"100,0",27 056,"100,0",27 463,"100,0",22278,saint-brieuc
Résidences principales,23 310,"88,6",22 858,"84,5",23 083,"84,1",22278,saint-brieuc
Résidences secondaires et logements occasionnels,549,"2,1",897,"3,3",1 451,"5,3",22278,saint-brieuc
Logements vacants,2 465,"9,4",3 302,"12,2",2 929,"10,7",22278,saint-brieuc
,,,,,,,22278,saint-brieuc
Maisons,10 504,"39,9",10 788,"39,9",10 906,"39,7",22278,saint-brieuc
Appartements,15 729,"59,8",16 119,"59,6",16 298,"59,3",22278,saint-brieuc
Ensemble,16 267,"100,0",16 824,"100,0",16 966,"100,0",24037,bergerac
Résidences principales,13 835,"85,1",14 198,"84,4",14 204,"83,7",24037,bergerac
Résidences secondaires et logements occasionnels,502,"3,1",588,"3,5",835,"4,9",24037,bergerac
Logements vacants,1 929,"11,9",2 039,"12,1",1 927,"11,4",24037,bergerac
,,,,,,,24037,bergerac
Maisons,10 345,"63,6",10 872,"64,6",10 640,"62,7",24037,bergerac
Appartements,5 869,"36,1",5 779,"34,4",6 277,"37,0",24037,bergerac
Ensemble,19 396,"100,0",19 935,"100,0",20 465,"100,0",24322,perigueux
Résidences principales,16 350,"84,3",16 735,"83,9",17 135,"83,7",24322,perigueux
Résidences secondaires et logements occasionnels,587,"3,0",689,"3,5",779,"3,8",24322,perigueux
Logements vacants,2 459,"12,7",2 511,"12,6",2 551,"12,5",24322,perigueux
,,,,,,,24322,perigueux
Maisons,6 154,"31,7",5 962,"29,9",5 854,"28,6",24322,perigueux
Appartements,13 139,"67,7",13 908,"69,8",14 540,"71,0",24322,perigueux
Ensemble,66 815,"100,0",69 719,"100,0",72 468,"100,0",25056,besancon
Résidences principales,60 619,"90,7",61 101,"87,6",63 809,"88,1",25056,besancon
Résidences secondaires et logements occasionnels,1 365,"2,0",1 811,"2,6",1 688,"2,3",25056,besancon
Logements vacants,4 831,"7,2",6 808,"9,8",6 972,"9,6",25056,besancon
,,,,,,,25056,besancon
Maisons,8 414,"12,6",8 785,"12,6",9 083,"12,5",25056,besancon
Appartements,57 660,"86,3",59 967,"86,0",62 594,"86,4",25056,besancon
Ensemble,13 648,"100,0",13 661,"100,0",13 746,"100,0",25388,montbeliard
Résidences principales,12 123,"88,8",11 880,"87,0",11 547,"84,0",25388,montbeliard
Résidences secondaires et logements occasionnels,181,"1,3",219,"1,6",304,"2,2",25388,montbeliard
Logements vacants,1 345,"9,9",1 561,"11,4",1 895,"13,8",25388,montbeliard
,,,,,,,25388,montbeliard
Maisons,2 988,"21,9",2 882,"21,1",2 871,"20,9",25388,montbeliard
Appartements,10 591,"77,6",10 643,"77,9",10 708,"77,9",25388,montbeliard
Ensemble,18 604,"100,0",20 270,"100,0",21 629,"100,0",26198,montelimar
Résidences principales,16 184,"87,0",17 895,"88,3",19 240,"89,0",26198,montelimar
Résidences secondaires et logements occasionnels,335,"1,8",391,"1,9",516,"2,4",26198,montelimar
Logements vacants,2 084,"11,2",1 984,"9,8",1 873,"8,7",26198,montelimar
,,,,,,,26198,montelimar
Maisons,8 608,"46,3",9 110,"44,9",9 663,"44,7",26198,montelimar
Appartements,9 897,"53,2",11 000,"54,3",11 846,"54,8",26198,montelimar
Ensemble,17 362,"100,0",18 069,"100,0",18 629,"100,0",26281,romans-sur-isere
Résidences principales,15 354,"88,4",15 843,"87,7",16 219,"87,1",26281,romans-sur-isere
Résidences secondaires et logements occasionnels,222,"1,3",275,"1,5",304,"1,6",26281,romans-sur-isere
Logements vacants,1 786,"10,3",1 952,"10,8",2 106,"11,3",26281,romans-sur-isere
,,,,,,,26281,romans-sur-isere
Maisons,6 817,"39,3",7 063,"39,1",7 258,"39,0",26281,romans-sur-isere
Appartements,10 506,"60,5",10 865,"60,1",11 170,"60,0",26281,romans-sur-isere
Ensemble,34 883,"100,0",36 445,"100,0",38 389,"100,0",26362,valence
Résidences principales,30 528,"87,5",30 630,"84,0",32 602,"84,9",26362,valence
Résidences secondaires et logements occasionnels,326,"0,9",737,"2,0",1 310,"3,4",26362,valence
Logements vacants,4 030,"11,6",5 077,"13,9",4 478,"11,7",26362,valence
,,,,,,,26362,valence
Maisons,8 277,"23,7",8 470,"23,2",8 777,"22,9",26362,valence
Appartements,26 224,"75,2",27 432,"75,3",29 232,"76,1",26362,valence
Ensemble,25 132,"100,0",26 090,"100,0",26 511,"100,0",27229,evreux
Résidences principales,23 043,"91,7",23 146,"88,7",22 870,"86,3",27229,evreux
Résidences secondaires et logements occasionnels,201,"0,8",216,"0,8",420,"1,6",27229,evreux
Logements vacants,1 888,"7,5",2 729,"10,5",3 221,"12,1",27229,evreux
,,,,,,,27229,evreux
Maisons,7 659,"30,5",8 071,"30,9",7 681,"29,0",27229,evreux
Appartements,17 052,"67,9",17 754,"68,0",18 454,"69,6",27229,evreux
Ensemble,11 657,"100,0",11 913,"100,0",12 546,"100,0",27681,vernon
Résidences principales,10 607,"91,0",10 337,"86,8",10 970,"87,4",27681,vernon
Résidences secondaires et logements occasionnels,215,"1,8",164,"1,4",167,"1,3",27681,vernon
Logements vacants,835,"7,2",1 412,"11,9",1 408,"11,2",27681,vernon
,,,,,,,27681,vernon
Maisons,4 818,"41,3",5 083,"42,7",5 290,"42,2",27681,vernon
Appartements,6 703,"57,5",6 790,"57,0",7 132,"56,8",27681,vernon
Ensemble,21 377,"100,0",21 996,"100,0",23 093,"100,0",28085,chartres
Résidences principales,18 866,"88,3",19 049,"86,6",19 756,"85,5",28085,chartres
Résidences secondaires et logements occasionnels,475,"2,2",621,"2,8",802,"3,5",28085,chartres
Logements vacants,2 036,"9,5",2 327,"10,6",2 535,"11,0",28085,chartres
,,,,,,,28085,chartres
Maisons,6 287,"29,4",6 599,"30,0",6 568,"28,4",28085,chartres
Appartements,14 843,"69,4",15 315,"69,6",16 310,"70,6",28085,chartres
Ensemble,13 192,"100,0",13 625,"100,0",14 117,"100,0",28134,dreux
Résidences principales,12 011,"91,0",12 171,"89,3",12 267,"86,9",28134,dreux
Résidences secondaires et logements occasionnels,175,"1,3",177,"1,3",208,"1,5",28134,dreux
Logements vacants,1 007,"7,6",1 277,"9,4",1 641,"11,6",28134,dreux
,,,,,,,28134,dreux
Maisons,5 493,"41,6",5 575,"40,9",5 868,"41,6",28134,dreux
Appartements,7 629,"57,8",8 019,"58,9",8 181,"57,9",28134,dreux
Ensemble,80 558,"100,0",82 322,"100,0",84 834,"100,0",29019,brest
Résidences principales,72 501,"90,0",73 962,"89,8",75 893,"89,5",29019,brest
Résidences secondaires et logements occasionnels,1 636,"2,0",2 386,"2,9",3 263,"3,8",29019,brest
Logements vacants,6 420,"8,0",5 974,"7,3",5 678,"6,7",29019,brest
,,,,,,,29019,brest
Maisons,20 262,"25,2",20 335,"24,7",20 978,"24,7",29019,brest
Appartements,59 597,"74,0",61 459,"74,7",63 225,"74,5",29019,brest
Ensemble,12 260,"100,0",13 003,"100,0",14 234,"100,0",29039,concarneau
Résidences principales,9 506,"77,5",9 918,"76,3",11 050,"77,6",29039,concarneau
Résidences secondaires et logements occasionnels,1 637,"13,4",1 886,"14,5",2 083,"14,6",29039,concarneau
Logements vacants,1 117,"9,1",1 199,"9,2",1 100,"7,7",29039,concarneau
,,,,,,,29039,concarneau
Maisons,7 293,"59,5",7 707,"59,3",8 397,"59,0",29039,concarneau
Appartements,4 828,"39,4",5 230,"40,2",5 692,"40,0",29039,concarneau
Ensemble,36 409,"100,0",37 591,"100,0",38 764,"100,0",29232,quimper
Résidences principales,32 283,"88,7",32 776,"87,2",34 140,"88,1",29232,quimper
Résidences secondaires et logements occasionnels,937,"2,6",1 177,"3,1",1 222,"3,2",29232,quimper
Logements vacants,3 189,"8,8",3 638,"9,7",3 402,"8,8",29232,quimper
,,,,,,,29232,quimper
Maisons,17 373,"47,7",17 527,"46,6",17 915,"46,2",29232,quimper
Appartements,18 818,"51,7",19 727,"52,5",20 577,"53,1",29232,quimper
Ensemble,31 947,"100,0",33 401,"100,0",35 804,"100,0",2A004,ajaccio
Résidences principales,27 488,"86,0",28 962,"86,7",31 353,"87,6",2A004,ajaccio
Résidences secondaires et logements occasionnels,3 002,"9,4",3 234,"9,7",3 367,"9,4",2A004,ajaccio
Logements vacants,1 457,"4,6",1 205,"3,6",1 084,"3,0",2A004,ajaccio
,,,,,,,2A004,ajaccio
Maisons,3 356,"10,5",3 359,"10,1",3 912,"10,9",2A004,ajaccio
Appartements,28 389,"88,9",29 928,"89,6",31 726,"88,6",2A004,ajaccio
Ensemble,19 117,"100,0",20 602,"100,0",21 364,"100,0",2B033,bastia
Résidences principales,18 419,"96,3",19 457,"94,4",20 882,"97,7",2B033,bastia
Résidences secondaires et logements occasionnels,177,"0,9",450,"2,2",221,"1,0",2B033,bastia
Logements vacants,521,"2,7",695,"3,4",261,"1,2",2B033,bastia
,,,,,,,2B033,bastia
Maisons,1 790,"9,4",1 643,"8,0",1 833,"8,6",2B033,bastia
Appartements,17 288,"90,4",18 914,"91,8",19 480,"91,2",2B033,bastia
Ensemble,23 576,"100,0",24 025,"100,0",25 459,"100,0",30007,ales
Résidences principales,20 549,"87,2",20 694,"86,1",22 913,"90,0",30007,ales
Résidences secondaires et logements occasionnels,609,"2,6",604,"2,5",322,"1,3",30007,ales
Logements vacants,2 418,"10,3",2 727,"11,3",2 224,"8,7",30007,ales
,,,,,,,30007,ales
Maisons,8 423,"35,7",8 517,"35,5",9 374,"36,8",30007,ales
Appartements,14 963,"63,5",15 357,"63,9",15 977,"62,8",30007,ales
Ensemble,76 568,"100,0",80 814,"100,0",84 509,"100,0",30189,nimes
Résidences principales,66 101,"86,3",70 991,"87,8",71 483,"84,6",30189,nimes
Résidences secondaires et logements occasionnels,2 186,"2,9",3 525,"4,4",4 733,"5,6",30189,nimes
Logements vacants,8 281,"10,8",6 299,"7,8",8 294,"9,8",30189,nimes
,,,,,,,30189,nimes
Maisons,23 503,"30,7",24 538,"30,4",24 792,"29,3",30189,nimes
Appartements,52 568,"68,7",55 476,"68,6",58 912,"69,7",30189,nimes
Ensemble,10 877,"100,0",12 072,"100,0",14 265,"100,0",31069,blagnac
Résidences principales,10 404,"95,7",11 357,"94,1",13 147,"92,2",31069,blagnac
Résidences secondaires et logements occasionnels,139,"1,3",301,"2,5",528,"3,7",31069,blagnac
Logements vacants,334,"3,1",413,"3,4",590,"4,1",31069,blagnac
,,,,,,,31069,blagnac
Maisons,4 321,"39,7",4 393,"36,4",4 546,"31,9",31069,blagnac
Appartements,6 510,"59,9",7 649,"63,4",9 658,"67,7",31069,blagnac
Ensemble,15 213,"100,0",17 405,"100,0",18 957,"100,0",31149,colomiers
Résidences principales,14 867,"97,7",16 892,"97,1",18 406,"97,1",31149,colomiers
Résidences secondaires et logements occasionnels,193,"1,3",241,"1,4",316,"1,7",31149,colomiers
Logements vacants,153,"1,0",271,"1,6",235,"1,2",31149,colomiers
,,,,,,,31149,colomiers
Maisons,7 303,"48,0",7 867,"45,2",7 990,"42,1",31149,colomiers
Appartements,7 831,"51,5",9 524,"54,7",10 869,"57,3",31149,colomiers
Ensemble,7 280,"100,0",7 986,"100,0",9 534,"100,0",31157,cugnaux
Résidences principales,6 857,"94,2",7 441,"93,2",8 910,"93,5",31157,cugnaux
Résidences secondaires et logements occasionnels,33,"0,4",48,"0,6",140,"1,5",31157,cugnaux
Logements vacants,390,"5,4",496,"6,2",485,"5,1",31157,cugnaux
,,,,,,,31157,cugnaux
Maisons,4 164,"57,2",4 600,"57,6",5 204,"54,6",31157,cugnaux
Appartements,3 107,"42,7",3 373,"42,2",4 313,"45,2",31157,cugnaux
Ensemble,11 182,"100,0",11 974,"100,0",12 523,"100,0",31395,muret
Résidences principales,10 274,"91,9",10 985,"91,7",11 269,"90,0",31395,muret
Résidences secondaires et logements occasionnels,58,"0,5",97,"0,8",189,"1,5",31395,muret
Logements vacants,851,"7,6",892,"7,4",1 065,"8,5",31395,muret
,,,,,,,31395,muret
Maisons,6 085,"54,4",6 466,"54,0",6 531,"52,2",31395,muret
Appartements,5 017,"44,9",5 467,"45,7",5 942,"47,5",31395,muret
Ensemble,259 160,"100,0",283 604,"100,0",313 134,"100,0",31555,toulouse
Résidences principales,233 575,"90,1",251 798,"88,8",275 369,"87,9",31555,toulouse
Résidences secondaires et logements occasionnels,5 069,"2,0",8 536,"3,0",12 007,"3,8",31555,toulouse
Logements vacants,20 516,"7,9",23 271,"8,2",25 758,"8,2",31555,toulouse
,,,,,,,31555,toulouse
Maisons,46 883,"18,1",46 704,"16,5",47 892,"15,3",31555,toulouse
Appartements,209 718,"80,9",233 986,"82,5",261 587,"83,5",31555,toulouse
Ensemble,10 820,"100,0",11 766,"100,0",14 178,"100,0",31557,tournefeuille
Résidences principales,10 156,"93,9",11 111,"94,4",13 180,"93,0",31557,tournefeuille
Résidences secondaires et logements occasionnels,234,"2,2",106,"0,9",372,"2,6",31557,tournefeuille
Logements vacants,430,"4,0",548,"4,7",626,"4,4",31557,tournefeuille
,,,,,,,31557,tournefeuille
Maisons,7 610,"70,3",7 975,"67,8",8 201,"57,8",31557,tournefeuille
Appartements,3 154,"29,1",3 730,"31,7",5 911,"41,7",31557,tournefeuille
Ensemble,12 925,"100,0",13 467,"100,0",13 780,"100,0",32013,auch
Résidences principales,11 271,"87,2",11 421,"84,8",12 196,"88,5",32013,auch
Résidences secondaires et logements occasionnels,211,"1,6",315,"2,3",424,"3,1",32013,auch
Logements vacants,1 443,"11,2",1 731,"12,9",1 160,"8,4",32013,auch
,,,,,,,32013,auch
Maisons,6 028,"46,6",6 192,"46,0",6 410,"46,5",32013,auch
Appartements,6 839,"52,9",7 233,"53,7",7 309,"53,0",32013,auch
Ensemble,12 454,"100,0",13 366,"100,0",16 006,"100,0",33039,begles
Résidences principales,11 578,"93,0",12 535,"93,8",14 642,"91,5",33039,begles
Résidences secondaires et logements occasionnels,106,"0,9",109,"0,8",337,"2,1",33039,begles
Logements vacants,770,"6,2",722,"5,4",1 027,"6,4",33039,begles
,,,,,,,33039,begles
Maisons,7 530,"60,5",7 220,"54,0",7 454,"46,6",33039,begles
Appartements,4 852,"39,0",6 080,"45,5",8 482,"53,0",33039,begles
Ensemble,144 900,"100,0",152 926,"100,0",165 094,"100,0",33063,bordeaux
Résidences principales,130 745,"90,2",136 209,"89,1",144 318,"87,4",33063,bordeaux
Résidences secondaires et logements occasionnels,3 745,"2,6",6 127,"4,0",8 874,"5,4",33063,bordeaux
Logements vacants,10 411,"7,2",10 590,"6,9",11 901,"7,2",33063,bordeaux
,,,,,,,33063,bordeaux
Maisons,35 310,"24,4",35 120,"23,0",34 440,"20,9",33063,bordeaux
Appartements,108 598,"74,9",117 155,"76,6",129 827,"78,6",33063,bordeaux
Ensemble,12 186,"100,0",12 558,"100,0",13 143,"100,0",33069,le-bouscat
Résidences principales,11 178,"91,7",11 386,"90,7",11 845,"90,1",33069,le-bouscat
Résidences secondaires et logements occasionnels,297,"2,4",253,"2,0",320,"2,4",33069,le-bouscat
Logements vacants,711,"5,8",918,"7,3",977,"7,4",33069,le-bouscat
,,,,,,,33069,le-bouscat
Maisons,5 930,"48,7",5 800,"46,2",5 750,"43,8",33069,le-bouscat
Appartements,6 211,"51,0",6 713,"53,5",7 366,"56,0",33069,le-bouscat
Ensemble,6 675,"100,0",8 427,"100,0",10 215,"100,0",33075,bruges
Résidences principales,6 405,"96,0",8 042,"95,4",9 490,"92,9",33075,bruges
Résidences secondaires et logements occasionnels,50,"0,7",91,"1,1",237,"2,3",33075,bruges
Logements vacants,220,"3,3",294,"3,5",488,"4,8",33075,bruges
,,,,,,,33075,bruges
Maisons,3 605,"54,0",3 806,"45,2",3 956,"38,7",33075,bruges
Appartements,2 990,"44,8",4 601,"54,6",6 242,"61,1",33075,bruges
Ensemble,9 949,"100,0",11 595,"100,0",13 966,"100,0",33119,cenon
Résidences principales,9 536,"95,9",10 930,"94,3",12 840,"91,9",33119,cenon
Résidences secondaires et logements occasionnels,25,"0,3",71,"0,6",162,"1,2",33119,cenon
Logements vacants,387,"3,9",594,"5,1",964,"6,9",33119,cenon
,,,,,,,33119,cenon
Maisons,4 119,"41,4",4 375,"37,7",4 345,"31,1",33119,cenon
Appartements,5 755,"57,8",7 194,"62,0",9 483,"67,9",33119,cenon
Ensemble,8 491,"100,0",10 487,"100,0",11 784,"100,0",33162,eysines
Résidences principales,8 162,"96,1",9 937,"94,8",11 104,"94,2",33162,eysines
Résidences secondaires et logements occasionnels,39,"0,5",52,"0,5",115,"1,0",33162,eysines
Logements vacants,290,"3,4",498,"4,7",564,"4,8",33162,eysines
,,,,,,,33162,eysines
Maisons,5 376,"63,3",5 662,"54,0",6 113,"51,9",33162,eysines
Appartements,2 920,"34,4",4 788,"45,6",5 627,"47,8",33162,eysines
Ensemble,11 006,"100,0",12 491,"100,0",13 083,"100,0",33192,gradignan
Résidences principales,10 332,"93,9",11 595,"92,8",12 294,"94,0",33192,gradignan
Résidences secondaires et logements occasionnels,111,"1,0",132,"1,1",266,"2,0",33192,gradignan
Logements vacants,563,"5,1",765,"6,1",523,"4,0",33192,gradignan
,,,,,,,33192,gradignan
Maisons,5 663,"51,5",5 884,"47,1",5 923,"45,3",33192,gradignan
Appartements,5 245,"47,7",6 515,"52,2",7 118,"54,4",33192,gradignan
Ensemble,11 041,"100,0",12 197,"100,0",13 507,"100,0",33199,gujan-mestras
Résidences principales,8 532,"77,3",9 531,"78,1",10 807,"80,0",33199,gujan-mestras
Résidences secondaires et logements occasionnels,1 844,"16,7",1 980,"16,2",1 994,"14,8",33199,gujan-mestras
Logements vacants,666,"6,0",686,"5,6",707,"5,2",33199,gujan-mestras
,,,,,,,33199,gujan-mestras
Maisons,9 259,"83,9",10 022,"82,2",10 480,"77,6",33199,gujan-mestras
Appartements,1 402,"12,7",1 738,"14,2",2 555,"18,9",33199,gujan-mestras
Ensemble,13 196,"100,0",13 598,"100,0",14 133,"100,0",33243,libourne
Résidences principales,11 577,"87,7",11 996,"88,2",12 355,"87,4",33243,libourne
Résidences secondaires et logements occasionnels,268,"2,0",200,"1,5",387,"2,7",33243,libourne
Logements vacants,1 351,"10,2",1 402,"10,3",1 391,"9,8",33243,libourne
,,,,,,,33243,libourne
Maisons,7 271,"55,1",7 396,"54,4",7 477,"52,9",33243,libourne
Appartements,5 861,"44,4",6 155,"45,3",6 594,"46,7",33243,libourne
Ensemble,8 461,"100,0",9 606,"100,0",11 260,"100,0",33249,lormont
Résidences principales,8 145,"96,3",9 216,"95,9",10 463,"92,9",33249,lormont
Résidences secondaires et logements occasionnels,35,"0,4",13,"0,1",230,"2,0",33249,lormont
Logements vacants,281,"3,3",377,"3,9",566,"5,0",33249,lormont
,,,,,,,33249,lormont
Maisons,2 857,"33,8",3 069,"32,0",2 877,"25,5",33249,lormont
Appartements,5 577,"65,9",6 517,"67,8",8 260,"73,4",33249,lormont
Ensemble,33 546,"100,0",36 713,"100,0",41 192,"100,0",33281,merignac
Résidences principales,31 461,"93,8",34 062,"92,8",37 829,"91,8",33281,merignac
Résidences secondaires et logements occasionnels,675,"2,0",1 099,"3,0",1 890,"4,6",33281,merignac
Logements vacants,1 411,"4,2",1 552,"4,2",1 473,"3,6",33281,merignac
,,,,,,,33281,merignac
Maisons,13 926,"41,5",14 101,"38,4",14 734,"35,8",33281,merignac
Appartements,19 444,"58,0",22 507,"61,3",26 256,"63,7",33281,merignac
Ensemble,26 132,"100,0",29 730,"100,0",34 043,"100,0",33318,pessac
Résidences principales,25 097,"96,0",28 302,"95,2",32 049,"94,1",33318,pessac
Résidences secondaires et logements occasionnels,172,"0,7",255,"0,9",715,"2,1",33318,pessac
Logements vacants,863,"3,3",1 173,"3,9",1 278,"3,8",33318,pessac
,,,,,,,33318,pessac
Maisons,14 981,"57,3",15 900,"53,5",15 899,"46,7",33318,pessac
Appartements,11 035,"42,2",13 286,"44,7",17 290,"50,8",33318,pessac
Ensemble,11 617,"100,0",13 492,"100,0",14 520,"100,0",33449,saint-medard-en-jalles
Résidences principales,11 102,"95,6",12 769,"94,6",14 036,"96,7",33449,saint-medard-en-jalles
Résidences secondaires et logements occasionnels,86,"0,7",86,"0,6",140,"1,0",33449,saint-medard-en-jalles
